,last_price,total_area,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,open_plan,kitchen_area,balcony,airports_nearest,cityCenters_nearest,parks_around3000,parks_nearest,ponds_around3000,ponds_nearest,days_exposition,price_for_m2,fromcenter_category_в пределах города,fromcenter_category_область,fromcenter_category_самый центр,fromcenter_category_центр
11158,4900000.0,42.5,2,2.5,5.0,27.1,3,False,False,False,21.9,1,39993.0,9252.0,0.0,5000.0,0.0,5000.0,14,115294,True,False,False,False
11160,4498000.0,70.4,3,2.62,3.0,48.4,1,False,False,False,9.2,0,30550.0,32262.0,0.0,5000.0,0.0,5000.0,0,63892,False,True,False,False
11162,2998000.0,40.0,1,2.8,20.0,18.5,18,False,False,False,13.0,0,38171.0,15015.0,0.0,5000.0,2.0,982.0,393,74950,True,False,False,False
11163,3600000.0,29.0,1,2.55,9.0,15.15,5,False,False,False,6.6,0,12342.0,14933.0,0.0,5000.0,1.0,774.0,6,124137,True,False,False,False
11164,4500000.0,48.3,1,2.7,13.0,23.0,7,False,False,False,10.0,2,14506.0,13303.0,0.0,5000.0,0.0,5000.0,195,93167,True,False,False,False
11165,11000000.0,75.4,2,3.0,5.0,37.0,5,False,False,False,17.0,0,22065.0,3331.0,0.0,5000.0,1.0,837.0,90,145888,False,False,False,True
11166,6100000.0,64.4,2,2.75,25.0,32.0,8,False,False,False,9.0,1,15114.0,12702.0,0.0,5000.0,0.0,5000.0,320,94720,True,False,False,False
11167,9900000.0,85.0,3,2.75,8.0,50.5,2,False,False,False,13.0,2,39945.0,15228.0,0.0,5000.0,1.0,888.0,275,116470,True,False,False,False
11168,4800000.0,58.0,3,2.52,5.0,39.2,5,False,False,False,6.0,0,14626.0,12408.0,0.0,5000.0,0.0,5000.0,99,82758,True,False,False,False
11170,3690000.0,39.0,1,2.75,16.0,17.5,12,False,False,False,9.0,0,31828.0,12832.0,0.0,5000.0,0.0,5000.0,86,94615,True,False,False,False
11171,5670000.0,55.0,2,2.6,9.0,31.0,5,False,False,False,9.0,0,35724.0,12638.0,1.0,477.0,1.0,483.0,209,103090,True,False,False,False
11172,3300000.0,30.0,1,2.75,9.0,18.0,5,False,False,False,6.0,0,16278.0,15074.0,1.0,373.0,0.0,5000.0,134,110000,True,False,False,False
11174,4150000.0,51.0,1,2.7,5.0,30.0,3,False,False,False,9.0,1,26000.0,27712.0,0.0,5000.0,0.0,5000.0,45,81372,False,True,False,False
11175,5990000.0,62.3,3,3.2,5.0,41.0,1,False,False,False,7.5,0,13790.0,8928.0,0.0,5000.0,0.0,5000.0,652,96147,True,False,False,False
11176,37998000.0,160.0,3,2.75,7.0,69.0,4,False,False,False,30.0,0,32440.0,5297.0,0.0,5000.0,2.0,198.0,340,237487,True,False,False,False
11177,3200000.0,45.2,2,2.5,5.0,31.6,4,False,False,False,5.6,1,14117.0,15195.0,0.0,5000.0,1.0,752.0,14,70796,True,False,False,False
11178,4000000.0,46.0,2,2.75,9.0,28.0,5,False,False,False,7.0,2,13873.0,14211.0,1.0,218.0,1.0,876.0,60,86956,True,False,False,False
11180,6570000.0,49.0,1,3.0,13.0,19.0,10,False,False,False,13.6,2,37434.0,8460.0,1.0,441.0,2.0,427.0,37,134081,True,False,False,False
11185,2800000.0,65.0,3,2.68,5.0,45.0,2,False,False,False,7.0,1,29062.0,32487.0,0.0,5000.0,0.0,5000.0,0,43076,False,True,False,False
11186,6500000.0,63.0,3,2.75,10.0,36.3,7,False,False,False,10.3,0,14700.0,13496.0,0.0,5000.0,0.0,5000.0,77,103174,True,False,False,False
11187,7799000.0,78.0,3,2.68,5.0,37.0,2,False,False,False,8.6,4,18500.0,30654.0,1.0,401.0,1.0,882.0,335,99987,False,True,False,False
11189,6000000.0,72.3,3,2.75,4.0,48.7,3,False,False,False,7.3,1,28556.0,7403.0,1.0,222.0,0.0,5000.0,97,82987,True,False,False,False
11190,3200000.0,30.0,1,2.51,12.0,18.3,9,False,False,False,6.6,1,65328.0,47054.0,1.0,173.0,1.0,936.0,45,106666,False,True,False,False
11191,4350000.0,47.0,2,2.5,9.0,29.7,6,False,False,False,6.3,0,49080.0,14905.0,1.0,239.0,1.0,609.0,60,92553,True,False,False,False
11192,5400000.0,60.3,3,2.6,9.0,38.7,1,False,False,False,7.5,0,14428.0,15421.0,0.0,5000.0,1.0,130.0,406,89552,True,False,False,False
11195,4950000.0,44.7,1,2.68,26.0,18.2,15,False,False,False,12.6,1,45469.0,18194.0,0.0,5000.0,0.0,5000.0,95,110738,False,True,False,False
11196,5600000.0,54.6,2,2.54,10.0,29.2,2,False,False,False,8.1,2,34018.0,14320.0,1.0,463.0,2.0,510.0,7,102564,True,False,False,False
11197,26800000.0,93.0,2,3.0,6.0,44.5,5,False,False,False,21.0,2,32305.0,5397.0,2.0,563.0,3.0,644.0,126,288172,True,False,False,False
11198,5000000.0,37.0,1,2.65,12.0,17.0,5,False,False,False,10.0,2,11125.0,14501.0,0.0,5000.0,0.0,5000.0,335,135135,True,False,False,False
11199,14300000.0,69.5,2,3.0,6.0,35.8,2,False,False,False,14.4,0,22947.0,2488.0,0.0,5000.0,0.0,5000.0,100,205755,False,False,True,False
11200,4450000.0,67.0,3,2.65,6.0,41.0,6,False,False,False,8.0,2,45958.0,34425.0,1.0,589.0,0.0,5000.0,21,66417,False,True,False,False
11202,5400000.0,37.4,1,2.7,17.0,18.6,12,False,False,False,10.7,2,33592.0,14691.0,0.0,5000.0,2.0,611.0,10,144385,True,False,False,False
11203,5150000.0,52.0,2,2.55,10.0,28.8,8,False,False,False,8.2,0,35412.0,15713.0,1.0,342.0,3.0,142.0,0,99038,True,False,False,False
11204,3599000.0,42.0,1,2.68,16.0,17.0,7,False,False,False,10.0,1,18641.0,22066.0,0.0,5000.0,1.0,849.0,483,85690,False,True,False,False
11205,5320000.0,55.0,2,2.75,16.0,30.0,13,False,False,False,10.0,0,19359.0,22783.0,0.0,5000.0,1.0,277.0,0,96727,False,True,False,False
11207,6990000.0,73.77,3,2.75,25.0,41.98,2,False,False,False,9.9,2,38786.0,15658.0,0.0,5000.0,0.0,5000.0,83,94753,True,False,False,False
11208,3500000.0,43.0,1,2.75,14.0,18.0,9,False,False,False,10.0,1,33623.0,14722.0,0.0,5000.0,1.0,506.0,45,81395,True,False,False,False
11209,11300000.0,123.2,5,3.19,5.0,81.4,2,False,False,False,16.8,0,22068.0,3334.0,0.0,5000.0,1.0,802.0,54,91720,False,False,False,True
11210,4500000.0,41.0,1,2.75,17.0,30.5,3,False,False,False,10.5,1,33592.0,14691.0,0.0,5000.0,2.0,611.0,5,109756,True,False,False,False
11212,7980000.0,65.6,2,2.56,7.0,38.4,1,False,False,False,13.0,0,33328.0,13713.0,0.0,5000.0,2.0,95.0,311,121646,True,False,False,False
11213,6700000.0,47.0,1,3.0,20.0,20.0,15,False,False,False,11.0,1,39357.0,10581.0,2.0,288.0,3.0,311.0,93,142553,True,False,False,False
11216,5999000.0,61.0,3,2.75,5.0,41.3,4,False,False,False,8.3,0,13860.0,9650.0,1.0,242.0,1.0,753.0,105,98344,True,False,False,False
11218,8650000.0,88.3,4,2.65,9.0,67.9,1,False,False,False,8.0,0,50563.0,15192.0,0.0,5000.0,0.0,5000.0,0,97961,True,False,False,False
11219,7000000.0,66.5,2,2.75,24.0,32.0,9,False,False,False,9.2,1,32866.0,13783.0,0.0,5000.0,1.0,836.0,123,105263,True,False,False,False
11220,6400000.0,75.0,3,3.2,5.0,51.0,5,False,False,False,10.0,0,27477.0,9365.0,0.0,5000.0,2.0,585.0,27,85333,True,False,False,False
11221,7290000.0,68.0,3,3.2,6.0,48.0,5,False,False,False,7.6,1,21758.0,5218.0,1.0,218.0,2.0,203.0,160,107205,True,False,False,False
11222,5690000.0,47.0,1,2.75,8.0,17.3,3,False,False,False,14.4,0,43396.0,12248.0,1.0,392.0,0.0,5000.0,0,121063,True,False,False,False
11223,4900000.0,67.0,5,2.5,5.0,28.0,1,False,False,False,7.0,0,12287.0,13614.0,0.0,5000.0,1.0,611.0,107,73134,True,False,False,False
11224,5705000.0,42.0,1,2.64,17.0,17.0,14,False,False,False,12.0,0,14932.0,11348.0,1.0,36.0,1.0,274.0,0,135833,True,False,False,False
11225,5840000.0,39.9,1,2.75,17.0,16.6,5,False,False,False,10.9,1,13292.0,14847.0,0.0,5000.0,0.0,5000.0,0,146365,True,False,False,False
11226,9200000.0,98.0,4,3.5,6.0,57.3,2,False,False,False,15.9,0,31215.0,4194.0,1.0,83.0,3.0,498.0,10,93877,False,False,False,True
11227,6500000.0,83.0,3,2.68,11.0,43.0,9,False,False,False,12.0,0,11637.0,17424.0,0.0,5000.0,0.0,5000.0,14,78313,False,True,False,False
11228,4600000.0,44.0,1,2.75,12.0,16.4,10,False,False,False,10.0,0,49584.0,15289.0,0.0,5000.0,0.0,5000.0,278,104545,True,False,False,False
11229,6600000.0,62.0,3,2.5,9.0,42.7,9,False,False,False,8.5,0,46607.0,15213.0,0.0,5000.0,0.0,5000.0,14,106451,True,False,False,False
11230,3080000.0,32.0,1,2.6,4.0,18.0,2,False,False,False,6.0,0,14603.0,26756.0,0.0,5000.0,0.0,5000.0,218,96250,False,True,False,False
